vehicleId,duration_sec,distance_km,avg_speed,max_speed,speed_std,mean_accel,max_accel,accel_std,count_hard_brakes,harsh_accel_count,idling_time,stop_count,day_of_week,hour_of_day
MAT802031N3P34070,1e-06,4.114880006577682e-09,16.73527421388397,54.881247,17.061791021909034,22821397.863991056,1274045070.9876542,336673115.26555526,21.0,22.0,2.3000000000000002e-07,5.0,3.0,0.0
MAT802031N3P36251,2e-06,1.9112235215347926e-09,11.14997191038961,20.790622000000003,6.13620124913049,763762.6829806021,426599611.1111111,223317272.8884228,15.0,18.0,1.81e-06,2.0,3.0,0.0
MAT802031P3B03761,2e-06,1.4816022643995665e-09,4.658418606278642,26.185934000000003,7.27355933599125,5028498.495830504,684895750.0,166577096.9641313,15.0,22.0,1.71e-06,4.0,3.0,0.0
MAT802037N3B03622,0.0,1.2000878215488214e-10,1.7767970010822511,11.30781,3.5072090890591787,-5947933.006224372,314105833.3333333,113783047.61555558,6.0,6.0,3.9e-07,2.0,3.0,0.0
MAT802037N3B03649,0.0,4.249127777777777e-12,0.095605375,1.465624,0.36568761218265244,0.0,40711777.777777776,14880033.468049997,2.0,2.0,4.9e-07,1.0,3.0,0.0
MAT804004M8K15013,2e-06,2.0280329437429852e-10,0.427694563202447,23.04340111111111,2.6294848415007235,4120967.2713045957,640094475.3086419,70329099.73162633,7.0,5.0,2.2399999999999997e-06,2.0,3.0,0.0
MAT804004N8A00007,0.0,1.4512072037037037e-10,7.379877047619047,21.93424333333333,10.210703642207791,96846631.01477489,414468068.7830688,211852463.79633608,2.0,1.0,5.4e-07,1.0,3.0,0.0
MAT804004N8B03550,2e-06,8.124288202871974e-09,20.84293413035763,59.10390600000001,22.39422621351855,-80967496.47008047,1452126694.4444444,506403230.41150373,17.0,17.0,7e-07,5.0,3.0,0.0
MAT804004N8B04592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-08,0.0,3.0,0.0
MAT804004N8E09712,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-06,0.0,3.0,0.0
MAT804004P8B02459,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85e-06,0.0,3.0,0.0
MAT804004P8C04383,1e-06,5.0930951846029745e-09,17.468478442990513,48.75710090909092,15.777246759994302,-41310519.13358575,1029812256.9444444,333188626.51593965,16.0,13.0,2.6e-07,4.0,3.0,0.0
MAT804006L8C03607,0.0,2.536585120305235e-09,12.709516936617254,32.153121,9.890048062747335,-20866.805106139713,793684777.7777778,266763001.31035584,14.0,16.0,1.5e-07,2.0,3.0,0.0
MAT804305N8A01649,1e-06,3.7071700906846242e-09,23.506214087916195,59.34687499999999,21.26522585496634,-18570325.123442557,1467816805.555555,599120873.7993319,10.0,12.0,3.3e-07,5.0,3.0,0.0
MAT804306M8H11365,2e-06,7.092041227472374e-09,14.988115917745967,28.876732222222227,8.526834880360298,-25636912.303770542,216242237.65432093,171644262.14268753,21.0,25.0,1e-07,4.0,3.0,0.0
MAT804701L8F04604,1e-06,2.2597440683211075e-09,9.147702883603111,29.281245555555557,9.07056999731932,6752981.680006859,599956472.2222222,235215187.8813447,9.0,12.0,2.9e-07,3.0,3.0,0.0
MAT804701L8G04970,2e-06,2.2098521708538375e-09,3.2597835983234296,34.05815555555555,7.944439609857185,2353340.0126723675,689105805.5555555,135520821.18818325,23.0,22.0,1.91e-06,5.0,3.0,0.0
MAT804701L8G05165,0.0,1.9745356407616262e-09,20.31368629573935,38.0589805,14.446355356307432,-50041608.23282157,379526269.84126985,325935068.16755503,5.0,9.0,4.800000000000001e-07,2.0,3.0,0.0
MAT804701L8P14406,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3499999999999995e-06,0.0,3.0,0.0
MAT804701M8C05934,1e-06,3.434466062191358e-09,8.615457503427129,39.202342,11.706404567413967,-7423584.905937682,976461848.4848485,246942638.63632625,30.0,26.0,6.1e-07,8.0,3.0,0.0
